created_at,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_color,status_created_at,status_favorited,status_hashtags,status_id,status_lang,status_retweet_count,status_retweeted,status_text,statuses_count,time_zone,utc_offset
Tue Dec 11 05:57:32 +0000 2012,0,0,1,False,1003414406,en,NA,C0DEED,Wed Dec 12 17:41:39 +0000 2012,False,NA,278917545917038592,tl,0,False,Halo @Ramaliaz,1,NA,NA
Wed Dec 12 15:07:29 +0000 2012,0,6,17,False,1006572037,en,USA New York,C0DEED,Wed Dec 12 15:10:30 +0000 2012,False,NA,278879508222840832,en,0,False,The console washes against an abandon.,1,NA,NA
Wed Dec 12 18:35:09 +0000 2012,4,4,57,False,1007005704,ru,Санкт-Петербург,DD6731,Sat Jun 20 06:42:59 +0000 2015,False,[u'wstdays'],612148620914200577,ru,0,False,Приветствуем на #wstdays https://t.co/DdDbUIggLr,10,Yerevan,14400
Thu Dec 13 18:14:45 +0000 2012,9,51,20,True,1009418101,ar,NA,FF6699,NA,NA,NA,NA,NA,0,False,NA,4221,Athens,10800
Sun Jan 03 14:57:55 +0000 2010,0,3,20,False,101494003,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Tue Dec 18 18:21:22 +0000 2012,0,0,2,False,1020351756,ar,NA,C0DEED,Fri Aug 16 23:46:18 +0000 2013,False,[u'keek'],368519116023271426,ar,0,False,I liked this #keek http://t.co/vI4yCQrr6d سلوش اغنية :حبيبي لو يصير الحظ مايل,271,NA,NA
Thu Dec 20 13:18:24 +0000 2012,0,0,5,False,1024249081,en,NA,C0DEED,Fri Jul 24 20:49:11 +0000 2015,False,NA,624682762889490432,en,0,False,I posted a new video to Facebook http://t.co/ZfVlOD8eA4,218,NA,NA
Fri Dec 21 06:43:49 +0000 2012,0,0,6,False,1025809502,ru,NA,C0DEED,Tue Apr 23 13:58:09 +0000 2013,False,NA,326696497028685824,ru,0,False,Q: Кто ваш любимый певец и какая у него лучшая песня?  A: http://t.co/4cautXuoTE,1,NA,NA
Fri Jan 08 07:03:08 +0000 2010,0,62,19,False,102912757,en,NA,C0DEED,Wed Feb 17 01:39:13 +0000 2010,False,NA,9212563952,en,0,False,morning all,3,NA,NA
Sun Dec 23 12:48:07 +0000 2012,0,1,10,False,1030501914,en,antipolo city,642D8B,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Mon Dec 24 21:15:57 +0000 2012,0,2,21,False,1033475894,en,NA,C0DEED,Tue Dec 25 21:44:21 +0000 2012,False,NA,283689663590457344,en,0,False,"1 guy brought a donkey to a patry, the 2 guy brought gold to the party &amp; the 3 guy brought underwear because they were carols!",3,NA,NA
Thu Dec 27 04:44:11 +0000 2012,0,0,0,False,1038826969,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sat Dec 29 09:33:31 +0000 2012,0,3,1,True,1044316122,pl,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Wed Jan 13 17:28:02 +0000 2010,0,1,0,False,104548499,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sat Dec 29 19:52:01 +0000 2012,0,0,0,False,1045813200,it,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sun Dec 30 02:32:30 +0000 2012,3,0,2,False,1046588640,en,india,C0DEED,NA,NA,NA,NA,NA,0,False,NA,2,NA,NA
Tue Jan 01 20:06:08 +0000 2013,4,7,111,False,1053395953,en,NA,C0DEED,Sun Jul 19 11:36:55 +0000 2015,False,NA,622731843234869248,ar,0,False,@osgaweesh أين أنت من قناة مكملين,41,NA,NA
Wed Jan 02 18:58:12 +0000 2013,0,3,33,False,1055831982,tr,NA,FF6699,Thu Jan 03 16:51:48 +0000 2013,False,NA,286877533079744514,und,0,False,@DemetAkalin ben,1,NA,NA
Wed Jan 02 20:39:57 +0000 2013,6,85,291,True,1056059377,ar,NA,C0DEED,Thu Jun 18 13:49:02 +0000 2015,False,NA,611531067833450496,ar,0,False,"ثق بقدراتك ..
فالطير على الشجرة لا يخاف أن ينكسر الغصن
لانه لا يثق بالغصن بل يثق باجنحته",64,NA,NA
Thu Jan 03 04:08:40 +0000 2013,0,6,12,False,1056819996,es,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Fri Jan 04 13:06:09 +0000 2013,4500,309,299,True,1060423699,ja,NA,C0DEED,Fri Mar 20 05:01:38 +0000 2015,False,NA,578783433524019200,ja,0,False,"パスワード分からなくてこのアカウント開けなかったので新しくアカウント作って
そっちに移動しました。
このアカウントは消すつもりです。
今までありがとうございました！
興味のある方はどうぞ(→@sorahar216)",19557,NA,NA
Sun Jan 06 03:48:53 +0000 2013,0,2,1,False,1064697787,en,Australia,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Mon Jan 07 13:15:05 +0000 2013,0,13,19,True,1068298543,es,quillota,0099B9,Fri Feb 15 14:53:10 +0000 2013,False,NA,302430356961906688,es,1,False,"en San Pedro de Quillota se esta realizando una pequeña campaña llamada "" Por que soy Sanpedrino"" para ir en ayuda de los damnificados...",7,NA,NA
Thu Jan 17 12:05:44 +0000 2013,0,0,0,False,1097980724,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Tue Feb 02 02:03:33 +0000 2010,79,34,604,False,110582828,es,KE TE IMPORTA,C0DEED,Mon Sep 19 14:13:21 +0000 2011,False,NA,115790585973063680,es,0,False,"se termina d escribir la ultima pagina de todo
lo q un dia tu y yo vivimos cada kien x su camino
enhorabuena
ya eres ajena q seas muy feliz.",392,Mountain Time (US & Canada),-21600
Mon Jan 21 08:34:08 +0000 2013,0,0,0,False,1108449750,ru,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Mon Jan 21 17:19:47 +0000 2013,0,10,50,False,1109581549,en,NA,C0DEED,Sun Apr 14 06:00:47 +0000 2013,False,NA,323314872173608960,en,0,False,"had a freakin awesome weekend now its time for hw, lame",2,NA,NA
Wed Jan 23 06:48:55 +0000 2013,0,0,0,False,1113652026,id,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Wed Jan 23 10:49:21 +0000 2013,0,2,3,False,1114073826,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Fri Feb 05 07:45:18 +0000 2010,0,381,1783,False,111534217,ja,あなたのうしろに…、,C8D4CB,Sun Jul 26 16:40:25 +0000 2015,False,NA,625344936578125826,ja,15,False,RT @yonami473: 瓶と少女シリーズの新しいグッズ出すよ～！ポーチとファイバークロス（めがねふき）だよ～！たぶん金コミ持っていけると思いますよろしくね～！ http://t.co/GJ7mlyqSH4,17643,Tokyo,32400
Thu Jan 24 00:58:54 +0000 2013,0,0,13,False,1115653776,it,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Thu Jan 24 09:43:35 +0000 2013,0,0,0,False,1116384709,ja,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Thu Jan 24 11:02:01 +0000 2013,0,4,57,False,1116494178,fr,NA,C0DEED,Thu Mar 07 21:19:21 +0000 2013,False,NA,309775299690782721,ar,0,False,شيرين - هتروح: http://t.co/L6bFmV8yiR via @youtube,21,NA,NA
Sat Jan 26 15:10:12 +0000 2013,0,3,19,False,1122279680,fr,NA,C0DEED,Sat Jan 26 15:21:24 +0000 2013,False,NA,295189704222068736,fr,37,False,RT @PublicFR: Taylor Swift : comment va-t-elle gérer ses retrouvailles avec Harry Styles aux NRJ Music Awards ? http://t.co/Wmf0Nnr6,1,Casablanca,NA
Tue Jan 29 00:44:12 +0000 2013,2,61,141,False,1129629468,ar,NA,C0DEED,Thu Jan 02 15:45:03 +0000 2014,False,"[u'\u0641\u0644\u0648\u0645\u064a_\u0641\u0644\u0648\u0628\u0627\u0643', u'\u0625\u0636\u0627\u0641\u0629_\u0645\u0646_\u0639\u0645\u0644_\u0631\u062a\u0648\u064a\u062a']",418769919963320320,ar,118,False,"RT @_aboood99: #فلومي_فلوباك🌹

♥اللي يضيفني اضيفه♥

أتشرف بالجميع♥

✋✋لحظه💯

واللي ما اضيفه ينبهني 
على المنشن ويبشر بالأضافه
#إضافة_من_عمل…",313,NA,NA
Tue Jan 29 15:18:22 +0000 2013,0,2,5,False,1131304740,pt,NA,C0DEED,Fri Feb 01 21:30:27 +0000 2013,False,NA,297456904467279872,pt,147,False,"RT @CortadasFodas: um dia eu tava na escola e me pediram uma borracha emprestada, ai eu disse ""não uso borracha pois não cometo erros"" e ...",1,NA,NA
Sat Feb 13 23:58:30 +0000 2010,0,1,0,False,114056014,en,NA,C0DEED,Fri Feb 19 10:06:20 +0000 2010,False,NA,9328609990,en,0,False,Look at My  Vids http://tinyurl.com/yebe4j6 MAKE SURE U FRISK ME GUD CHECK MY PANTIES AND MY BRA,1,NA,NA
Sun Feb 03 03:26:08 +0000 2013,0,0,0,False,1144077812,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sun Feb 03 06:35:03 +0000 2013,0,1,1,False,1144378818,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sun Feb 03 15:29:19 +0000 2013,0,0,0,False,1145459360,ar,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Wed Feb 06 05:21:32 +0000 2013,0,0,0,False,1152996470,en,NA,C0DEED,Wed Feb 06 05:26:06 +0000 2013,False,[u'AFL'],299026158786322432,en,0,False,http://t.co/FjUVSc5X  #AFL I'm your sweetheart,17,NA,NA
Wed Feb 06 10:16:39 +0000 2013,0,0,0,False,1153588081,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Wed Feb 06 12:55:15 +0000 2013,0,16,34,False,1153932738,tr,NA,C0DEED,Sat Aug 30 13:49:56 +0000 2014,False,NA,505714036206731264,tr,0,False,"üzmüyor beni artık terkedip gidişin,  tehdit ettiğin anda, bittin benim için*",28,NA,NA
Thu Feb 18 18:15:38 +0000 2010,0,1,2,False,115454027,en,NA,C0DEED,Fri Feb 26 21:46:52 +0000 2010,False,NA,9698082365,en,0,False,"Best money for trades, especially Toyota's and best deals for our stock.  Call me or come see me all weekend.",4,NA,NA
Fri Feb 19 17:10:36 +0000 2010,0,7,2,False,115713503,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Sat Feb 09 22:47:59 +0000 2013,405,64,368,False,1164292976,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,487,NA,NA
Sun Feb 10 01:35:13 +0000 2013,0,1,15,False,1164608179,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Tue Feb 23 19:50:24 +0000 2010,0,0,2,False,116855009,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
Tue Feb 12 02:36:09 +0000 2013,1,0,8,False,1170660156,en,NA,C0DEED,Tue Feb 12 02:50:22 +0000 2013,False,NA,301161296143994882,en,0,False,Water &gt;,6,NA,NA
Fri Feb 26 09:13:04 +0000 2010,0,15,4,False,117694132,en,NA,C0DEED,NA,NA,NA,NA,NA,0,False,NA,0,NA,NA
